GEO_ID,NAME,S1502_C01_001E,S0101_C01_001E
53001,"Adams County, Washington",1457,19452
53003,"Asotin County, Washington",3291,22337
53005,"Benton County, Washington",37566,194168
53007,"Chelan County, Washington",13702,75757
53009,"Clallam County, Washington",14746,74487
53011,"Clark County, Washington",93232,465384
53013,"Columbia County, Washington",755,4001
53015,"Cowlitz County, Washington",12096,105112
53017,"Douglas County, Washington",5201,41371
53019,"Ferry County, Washington",1038,7576
53021,"Franklin County, Washington",9026,90660
53023,"Garfield County, Washington",411,2224
53025,"Grant County, Washington",10072,94860
53027,"Grays Harbor County, Washington",8205,71967
53029,"Island County, Washington",19576,81636
53031,"Jefferson County, Washington",10679,30856
53033,"King County, Washington",790809,2163257
53035,"Kitsap County, Washington",58452,262475
53037,"Kittitas County, Washington",9371,44825
53039,"Klickitat County, Washington",4526,21396
53041,"Lewis County, Washington",9161,76947
53043,"Lincoln County, Washington",1788,10435
53045,"Mason County, Washington",8258,62627
53047,"Okanogan County, Washington",5519,41638
53049,"Pacific County, Washington",2943,21281
53051,"Pend Oreille County, Washington",1985,13219
53053,"Pierce County, Washington",152051,859840
53055,"San Juan County, Washington",6518,16473
53057,"Skagit County, Washington",22685,123907
53059,"Skamania County, Washington",2039,11620
53061,"Snohomish County, Washington",172902,786620
53063,"Spokane County, Washington",102693,497875
53065,"Stevens County, Washington",5818,44214
53067,"Thurston County, Washington",68603,274684
53069,"Wahkiakum County, Washington",607,4189
53071,"Walla Walla County, Washington",11262,60236
53073,"Whatcom County, Washington",48346,216812
53075,"Whitman County, Washington",11811,48593
53077,"Yakima County, Washington",24061,249325
